candidate_id,target_topic,target_topic_slug,candidate_topic,candidate_topic_norm,candidate_topic_type,candidate_source,member_count,source_paper_count,member_candidate_ids,member_topics,source_paper_ids,source_years,missing_source_paper_ids,n_2019,N_2019,N_total_2019,N_survey_excluded_2019,f_2019,topic_f_2019,topic_n_2019,source_paper_ids_2019,n_2020,N_2020,N_total_2020,N_survey_excluded_2020,f_2020,topic_f_2020,topic_n_2020,source_paper_ids_2020,n_2021,N_2021,N_total_2021,N_survey_excluded_2021,f_2021,topic_f_2021,topic_n_2021,source_paper_ids_2021,n_2022,N_2022,N_total_2022,N_survey_excluded_2022,f_2022,topic_f_2022,topic_n_2022,source_paper_ids_2022,n_2023,N_2023,N_total_2023,N_survey_excluded_2023,f_2023,topic_f_2023,topic_n_2023,source_paper_ids_2023,ref_n_2024,ref_N_2024,ref_f_2024,solution_raw_score,solution_onset,solution_slope,solution_intercept,solution_r2,solution_growth,solution_positive_share,solution_end_strength,solution_pre_peak,solution_pre_onset_penalty,solution_fit_score,score,early_topic_peak,onset_to_2023_peak,gate2_strict_2024_validation_peak,gate1_strict_score_positive,gate1_score_positive,gate2_2024_validation_peak,gate3_solution_no_skipped_decline,gate3_solution_skipped_sparse_steps,gate3_solution_failed_steps,gate3_strict_solution_smooth_growth,gate3_solution_strict_smooth_growth,gate3_solution_smooth_growth,gate4_strict_pre_onset_not_too_high,gate4_pre_onset_not_too_high,validation_lift_2024_vs_2023,validation_lift_2024_vs_peak,early_support_n,early_active_years,core_min_ref_n,gate1_core_2024_validation,gate2_core_early_evidence,gate3_core_pre_onset_not_too_high,gate1_selected,gate2_selected,gate3_selected,gate_path,gate_mode,passed_all_gates
6aee4936d751e54846ce7b07d6a5419c,machine unlearning,machine-unlearning,influence-function-based unlearning,influence-function-based unlearning,solution-space,cluster,2,7,"[""f35707d58262df917f211b1c6014e3c0"", ""07f8151778b120fb5cdd0be860218469""]","[""influence-function-based machine unlearning"", ""influence-function-based unlearning""]","[""001c35feef59c01394707b29fd95e4c7374b284d"", ""128a14c3048f328c8e4ce9c274b0bf467946a57f"", ""17f41a4212aae8b2b02ffcc0193209b7528d3a78"", ""3c40e8354176746226cfaed3603c8bc9db06c854"", ""56a9f45906eb341dbd9f30f76dbbaa30a7213c72"", ""e1dcc29f3cdaeeb551b3c17829c3f1a3bccaa7b0"", ""ed50c828bbba72449bcdaaa266b7c378e7809c54""]","[2021, 2022, 2023]",[],0,145,145,0,0.0,0.0,0,[],0,143,144,1,0.0,0.0,0,[],1,223,225,2,0.004484304932735426,0.004484304932735426,1,"[""128a14c3048f328c8e4ce9c274b0bf467946a57f""]",2,266,269,3,0.007518796992481203,0.007518796992481203,2,"[""56a9f45906eb341dbd9f30f76dbbaa30a7213c72"", ""e1dcc29f3cdaeeb551b3c17829c3f1a3bccaa7b0""]",4,361,372,11,0.0110803324099723,0.0110803324099723,4,"[""001c35feef59c01394707b29fd95e4c7374b284d"", ""17f41a4212aae8b2b02ffcc0193209b7528d3a78"", ""3c40e8354176746226cfaed3603c8bc9db06c854"", ""ed50c828bbba72449bcdaaa266b7c378e7809c54""]",47,751,0.06258322237017311,0.8864227204561308,2021,0.45229408705718893,-5.385662252540058,0.9932608651904297,2.4709141270958086,1.0,1.0,0.0,1.0,1.0,1.0,0.0110803324099723,0.0110803324099723,True,True,True,True,True,,,True,True,True,True,True,5.648135818908123,5.648135818908123,7,3,3,True,True,True,True,True,True,core_validated,core,True
c1b9461a5871ac2f16e710d1a464f7e4,machine unlearning,machine-unlearning,federated unlearning,federated unlearning,solution-space,cluster,5,14,"[""a89aa365b8d87972d8c2b15c443c0f7d"", ""b1be815541d706189e06f2c97df2b70a"", ""83681381885b5ec21997014243b9abb0"", ""02460579d13850f3fba4e3ca998ab233"", ""115d0aa082e644431ce4a15f6c1ea243""]","[""exact federated unlearning"", ""federated unlearning"", ""federated unlearning frameworks"", ""vertical federated unlearning"", ""federated unlearning incentive mechanisms""]","[""2346defec98067fe7102abdf985066c2f123b7c0"", ""2fbea30e1ecb68452c4f96d41f1f8dca1d4f5b6f"", ""39da2d48f2132b919405e3bb6df6ece44ac6e15a"", ""4e26fc4fe687c7471e44f2a5e6feef0facfc4be1"", ""6082f10f282abc2ec8c20ba6d5c6799309481b56"", ""6b58bdddf2d0603e36c9a048db9741b668d8f6a4"", ""7d4cfaf07fef7c8b877a2dd15bba60c0566425fd"", ""a070015d00cbb7be22760e78e4754699b8bea08f"", ""a08f1c5c9f0bdb24f0dc75c0d969eb353899156b"", ""ac0c9afa9c19f0700d903e00a92e83e41587add3"", ""b347b1e26714955d1cf559d6b4b014f440167f15"", ""b4d930e584587d3d7867bf3e2eafaf0e6d868154"", ""d196a58ea97e9658522496629583772bf7cbe372"", ""eadeffdec9fac8fd7f9aea732ca410eb082b7dcf""]","[2020, 2021, 2022, 2023]",[],0,145,145,0,0.0,0.0,0,[],1,143,144,1,0.006993006993006993,0.006993006993006993,1,"[""6082f10f282abc2ec8c20ba6d5c6799309481b56""]",1,223,225,2,0.004484304932735426,0.004484304932735426,1,"[""eadeffdec9fac8fd7f9aea732ca410eb082b7dcf""]",3,266,269,3,0.011278195488721804,0.011278195488721804,3,"[""39da2d48f2132b919405e3bb6df6ece44ac6e15a"", ""6b58bdddf2d0603e36c9a048db9741b668d8f6a4"", ""a070015d00cbb7be22760e78e4754699b8bea08f""]",8,361,372,11,0.0221606648199446,0.0221606648199446,8,"[""2fbea30e1ecb68452c4f96d41f1f8dca1d4f5b6f"", ""4e26fc4fe687c7471e44f2a5e6feef0facfc4be1"", ""7d4cfaf07fef7c8b877a2dd15bba60c0566425fd"", ""a08f1c5c9f0bdb24f0dc75c0d969eb353899156b"", ""ac0c9afa9c19f0700d903e00a92e83e41587add3"", ""b347b1e26714955d1cf559d6b4b014f440167f15"", ""b4d930e584587d3d7867bf3e2eafaf0e6d868154"", ""d196a58ea97e9658522496629583772bf7cbe372""]",30,751,0.03994673768308921,0.641567464885503,2021,0.7988676773145991,-5.366031746604587,0.992106692365788,4.941828253968617,1.0,1.0,0.006993006993006993,0.6412556054324664,0.7237714581090255,0.7237714581090255,0.0221606648199446,0.0221606648199446,True,True,True,True,True,,,True,True,True,True,True,1.8025965379494007,1.8025965379494007,13,4,3,True,True,True,True,True,True,core_validated,core,True
3ee3c5953d3874653eaad71d66f96d73,machine unlearning,machine-unlearning,approximate unlearning,approximate unlearning,solution-space,cluster,4,5,"[""43b46a334a59313c424490600a5ba0af"", ""1b5398fcb57bd99e1b57baba87afadcc"", ""b7bbd60c646bdf72c5bf84055c51e20c"", ""7a6047b4100c6d86d6b40d63c3f65c9e""]","[""approximate unlearning"", ""approximate unlearning metrics"", ""approximate unlearning in large language models"", ""approximate unlearning via posterior matching""]","[""40a7c44d1cfaa9faf1f731a6f93a889fab5426da"", ""579bd7f67acf892ed7bb47946fd69ef651a3d062"", ""a166412fcabdcb36218ee310e6207a48f8b662a9"", ""c1144febe1168a993621834ecb15f9f251c480da"", ""f3a8de8c9117926199b0da0b548fecae3e20793a""]","[2021, 2022, 2023]",[],0,145,145,0,0.0,0.0,0,[],0,143,144,1,0.0,0.0,0,[],1,223,225,2,0.004484304932735426,0.004484304932735426,1,"[""f3a8de8c9117926199b0da0b548fecae3e20793a""]",1,266,269,3,0.0037593984962406013,0.0037593984962406013,1,"[""579bd7f67acf892ed7bb47946fd69ef651a3d062""]",3,361,372,11,0.008310249307479225,0.008310249307479225,3,"[""40a7c44d1cfaa9faf1f731a6f93a889fab5426da"", ""a166412fcabdcb36218ee310e6207a48f8b662a9"", ""c1144febe1168a993621834ecb15f9f251c480da""]",80,751,0.10652463382157124,0.24777838360810703,2022,0.793230638971263,-5.583496308515699,1.0,2.210526315467474,1.0,1.0,0.004484304932735426,0.8383458646977029,0.2795262101140712,0.2795262101140712,0.008310249307479225,0.008310249307479225,True,True,True,True,True,,,True,True,True,True,True,12.818464269862405,12.818464269862405,5,3,3,True,True,True,True,True,True,core_validated,core,True
881ad09ca84dd327279cee64371bba9d,machine unlearning,machine-unlearning,data-free machine unlearning,data-free machine unlearning,solution-space,cluster,4,5,"[""f3b56a5d9038a4775606124350ab840f"", ""69561591f80cbc7d0628d3f62b771c14"", ""2d0e533e631a2959cbc14b8957a2c5e4"", ""8f11f51641bb4165b74d427387410003""]","[""data-free machine unlearning"", ""retrain-free machine unlearning"", ""retraining-based machine unlearning"", ""training-data-free machine unlearning""]","[""1ff32b615497085a999f17192a09914628ebf77c"", ""27dfd4db62ae5f17720e57b41ada30d30b86f8cc"", ""2956e747798c825b110e793fc2521c29607b87e3"", ""93b5f8111957a5b2ba36e1b4377d49b0309f3ae3"", ""edaa33e17263b3fb9c2f81d87ba03ba5104a27c1""]","[2022, 2023]",[],0,145,145,0,0.0,0.0,0,[],0,143,144,1,0.0,0.0,0,[],0,223,225,2,0.0,0.0,0,[],2,266,269,3,0.007518796992481203,0.007518796992481203,2,"[""1ff32b615497085a999f17192a09914628ebf77c"", ""edaa33e17263b3fb9c2f81d87ba03ba5104a27c1""]",3,361,372,11,0.008310249307479225,0.008310249307479225,3,"[""27dfd4db62ae5f17720e57b41ada30d30b86f8cc"", ""2956e747798c825b110e793fc2521c29607b87e3"", ""93b5f8111957a5b2ba36e1b4377d49b0309f3ae3""]",48,751,0.06391478029294274,0.04448153713080713,2022,0.10008345854431751,-4.890349128088752,1.0,1.105263157880737,1.0,1.0,0.0,1.0,0.05018095329045498,0.05018095329045498,0.008310249307479225,0.008310249307479225,True,True,True,True,True,,,True,True,True,True,True,7.691078561917443,7.691078561917443,5,2,3,True,True,True,True,True,True,core_validated,core,True
8dd9fa531a7810adc32194c2ed52b4ae,machine unlearning,machine-unlearning,privacy-preserving machine unlearning,privacy-preserving machine unlearning,solution-space,cluster,4,5,"[""203fa2268a87f8d9d276bdef9807cb87"", ""d36f4130235e4d7c7b856698a6a91a99"", ""440b85abc32d59ae682e45123d0a17dd"", ""d91a0febd113bf27b2b40e75f0466e27""]","[""differentially private machine unlearning"", ""differentially private unlearning"", ""differentially private unlearning algorithms"", ""privacy-preserving machine unlearning""]","[""06edb1f6eadb6c141d720fcca4c854578dc5d670"", ""6808d6c86594c4423e210f81fa0f84aa5f736ade"", ""ae2bd9d439e1b6f63cdd8856f29909d66bd1b6f9"", ""b1338641c1a981be589580b67a6b7b9fc2905ccc"", ""b689b1f373ebadb6623d9f7f3a692f4b8b66160b""]","[2021, 2023]",[],0,145,145,0,0.0,0.0,0,[],0,143,144,1,0.0,0.0,0,[],1,223,225,2,0.004484304932735426,0.004484304932735426,1,"[""b1338641c1a981be589580b67a6b7b9fc2905ccc""]",0,266,269,3,0.0,0.0,0,[],4,361,372,11,0.0110803324099723,0.0110803324099723,4,"[""06edb1f6eadb6c141d720fcca4c854578dc5d670"", ""6808d6c86594c4423e210f81fa0f84aa5f736ade"", ""ae2bd9d439e1b6f63cdd8856f29909d66bd1b6f9"", ""b689b1f373ebadb6623d9f7f3a692f4b8b66160b""]",38,751,0.05059920106524634,0.008365147806394819,2019,4.6256875037611636,-27.81193875075142,0.34653338085775975,2.4709141270958086,0.5,1.0,0.0,1.0,0.009436973594370781,0.009436973594370781,0.0110803324099723,0.0110803324099723,True,True,True,True,False,2021->2022,,True,False,True,True,True,4.566577896138482,4.566577896138482,5,2,3,True,True,True,True,True,True,core_validated,core,True
c19cfa84a8a62f4910cf253231b7716e,machine unlearning,machine-unlearning,machine unlearning evaluation metrics,machine unlearning evaluation metrics,solution-space,cluster,2,2,"[""742b1f5cae128fc44ebff74fd97d1654"", ""895f4ed6b4c3cd408a30c1e8221e3c20""]","[""machine unlearning evaluation metrics"", ""machine unlearning evaluation protocols""]","[""20b3caa9b3cb29eeb7101d7f396ecb1101711594"", ""5c782caa21e035541427574200218273b91101db""]","[2022, 2023]",[],0,145,145,0,0.0,0.0,0,[],0,143,144,1,0.0,0.0,0,[],0,223,225,2,0.0,0.0,0,[],1,266,269,3,0.0037593984962406013,0.0037593984962406013,1,"[""20b3caa9b3cb29eeb7101d7f396ecb1101711594""]",1,361,372,11,0.002770083102493075,0.002770083102493075,1,"[""5c782caa21e035541427574200218273b91101db""]",6,751,0.007989347536617843,0.0,2019,6.553181112332614,-31.979449747519862,0.7464566327905275,0.736842105333158,0.25,0.736842105333158,0.0,1.0,0.0,0.0,0.0037593984962406013,0.0037593984962406013,True,False,False,True,False,2022->2023,,True,False,True,True,True,2.8841544607190412,2.1251664447403464,2,2,3,True,True,True,True,True,True,core_validated,core,True
a0923a28bdc1bf582563c03d753bcbc2,machine unlearning,machine-unlearning,membership inference attacks on model updates,membership inference attacks on model updates,solution-space,cluster,2,2,"[""7df08ad5d01c22e9c620e57162138565"", ""ea88368b43ea706339dafbeb79d84d66""]","[""membership inference attacks on model updates"", ""membership inference attacks on unlearned models""]","[""4ebdc89a4dac0d05d8a2567e3b7849be198cb0ba"", ""6e36e38e95562a60d84aa15d40c0652c663e4495""]","[2020, 2023]",[],0,145,145,0,0.0,0.0,0,[],1,143,144,1,0.006993006993006993,0.006993006993006993,1,"[""4ebdc89a4dac0d05d8a2567e3b7849be198cb0ba""]",0,223,225,2,0.0,0.0,0,[],0,266,269,3,0.0,0.0,0,[],1,361,372,11,0.002770083102493075,0.002770083102493075,1,"[""6e36e38e95562a60d84aa15d40c0652c663e4495""]",28,751,0.037283621837549935,0.0,2019,2.0816109830101683,-22.912179153195222,0.07318051926041658,0.3961218837428642,0.5,0.3961218837428642,0.0,1.0,0.0,0.0,0.006993006993006993,0.006993006993006993,True,False,False,True,False,2020->2021,,True,False,True,True,True,13.459387483355526,5.33155792276964,2,2,3,True,True,True,True,True,True,core_validated,core,True
5dd46362ced6660d543d0731d98f3779,machine unlearning,machine-unlearning,model editing,model editing,solution-space,cluster,1,2,"[""7b4403f11ed4c92f6bc1f2940a77cc17""]","[""model editing""]","[""3d7e5485fae2965ddf081dc64be6ab52f5834cf8"", ""8f93f95e093aab16e594b4a246a205007e107c7a""]",[2023],[],0,145,145,0,0.0,0.0,0,[],0,143,144,1,0.0,0.0,0,[],0,223,225,2,0.0,0.0,0,[],0,266,269,3,0.0,0.0,0,[],2,361,372,11,0.00554016620498615,0.00554016620498615,2,"[""3d7e5485fae2965ddf081dc64be6ab52f5834cf8"", ""8f93f95e093aab16e594b4a246a205007e107c7a""]",7,751,0.009320905459387484,0.0,2019,4.48705806766722,-32.118079183595746,0.5,1.0,0.25,1.0,0.0,1.0,0.0,0.0,0.00554016620498615,0.00554016620498615,True,False,False,True,True,,,True,True,True,True,True,1.6824234354194407,1.6824234354194407,2,1,3,True,True,True,True,True,True,core_validated,core,True
5556aff6288f68cb00b7a5af6da9df8b,machine unlearning,machine-unlearning,teacher-student unlearning,teacher-student unlearning,solution-space,cluster,2,2,"[""6870dbbfc22fb9a95c374033f9614eb4"", ""c6b449b2d18fc7046e47e9384db3e549""]","[""teacher-student machine unlearning"", ""teacher-student unlearning""]","[""425669c368004dc43bebaa1d4acdd46a6bcca171"", ""9e4726368312df692635182b18f12739d1ade123""]","[2022, 2023]",[],0,145,145,0,0.0,0.0,0,[],0,143,144,1,0.0,0.0,0,[],0,223,225,2,0.0,0.0,0,[],1,266,269,3,0.0037593984962406013,0.0037593984962406013,1,"[""425669c368004dc43bebaa1d4acdd46a6bcca171""]",1,361,372,11,0.002770083102493075,0.002770083102493075,1,"[""9e4726368312df692635182b18f12739d1ade123""]",35,751,0.04660452729693742,0.0,2019,6.553181112332614,-31.979449747519862,0.7464566327905275,0.736842105333158,0.25,0.736842105333158,0.0,1.0,0.0,0.0,0.0037593984962406013,0.0037593984962406013,True,False,False,True,False,2022->2023,,True,False,True,True,True,16.82423435419441,12.396804260985354,2,2,3,True,True,True,True,True,True,core_validated,core,True
4b2dabfee7e9de19a29354cd38f993e0,machine unlearning,machine-unlearning,unlearnable datasets,unlearnable datasets,solution-space,cluster,1,2,"[""bfe17a0ddd9fe577c808c7f54c85dc98""]","[""unlearnable datasets""]","[""3c628f4001df89638063bad492c4c8f8f26c733f"", ""8a5601c61fd3ab044da5eeec088b5a6a4e4b14fd""]","[2022, 2023]",[],0,145,145,0,0.0,0.0,0,[],0,143,144,1,0.0,0.0,0,[],0,223,225,2,0.0,0.0,0,[],1,266,269,3,0.0037593984962406013,0.0037593984962406013,1,"[""3c628f4001df89638063bad492c4c8f8f26c733f""]",1,361,372,11,0.002770083102493075,0.002770083102493075,1,"[""8a5601c61fd3ab044da5eeec088b5a6a4e4b14fd""]",7,751,0.009320905459387484,0.0,2019,6.553181112332614,-31.979449747519862,0.7464566327905275,0.736842105333158,0.25,0.736842105333158,0.0,1.0,0.0,0.0,0.0037593984962406013,0.0037593984962406013,True,False,False,True,False,2022->2023,,True,False,True,True,True,3.3648468708388815,2.479360852197071,2,2,3,True,True,True,True,True,True,core_validated,core,True
